id,filename,category,title,alt_text,description,recommended_placement,source_site,source_url,filesize_bytes
11,jewelry/jewelry_03_pearl_diamond_ring.jpg,jewelry,Pearl ring with diamonds,Pearl ring with diamonds,Classic pearl ring framed by diamonds in a velvet display; great for bridal or heirloom-style product sections.,"product-card, bridal-section",Pexels,https://images.pexels.com/photos/1395305/pexels-photo-1395305.jpeg?cs=srgb&dl=pexels-martabranco-1395305.jpg&fm=jpg,1755530
12,jewelry/jewelry_05_rose_gold_bridal_set.jpg,jewelry,Rose gold bridal jewelry,Rose gold bridal jewelry,"Rose gold jewelry draped over satin fabric; ideal for bridal pages, featured collections, or elegant ad blocks.","hero, bridal-banner",Pexels,https://images.pexels.com/photos/3641059/pexels-photo-3641059.jpeg?cs=srgb&dl=pexels-castorlystock-3641059.jpg&fm=jpg,2941111
13,jewelry/jewelry_06_monochrome_diamond_ring.jpg,jewelry,Monochrome diamond ring close-up,Monochrome diamond ring close-up,Black-and-white close-up of an oversized diamond ring; useful for luxury editorial sections and dramatic highlights.,"editorial-block, feature-card",Pexels,https://images.pexels.com/photos/750148/pexels-photo-750148.jpeg?cs=srgb&dl=pexels-judy-sengsone-235902-750148.jpg&fm=jpg,499694
14,jewelry/jewelry_07_ring_on_wavy_dark_surface.jpg,jewelry,Diamond ring on wavy dark background,Diamond ring on wavy dark background,Sparkling ring centered over a dark rippled surface; strong fit for premium ad placements and homepage promos.,"ad-tile, homepage-promo",Pexels,https://images.pexels.com/photos/2732096/pexels-photo-2732096.jpeg?cs=srgb&dl=pexels-ayush-phillip-1415203-2732096.jpg&fm=jpg,353915
15,jewelry/jewelry_09_sapphire_diamond_gold_ring.jpg,jewelry,Sapphire and diamond gold ring,Sapphire and diamond gold ring,Blue sapphire and diamond ring with high-contrast lighting; perfect for gemstone pages and featured luxury offers.,"product-card, gemstone-section",Pexels,https://images.pexels.com/photos/10361481/pexels-photo-10361481.jpeg?cs=srgb&dl=pexels-the-glorious-studio-3584518-10361481.jpg&fm=jpg,665088
16,jewelry/jewelry_10_diamond_pendant_necklace.jpg,jewelry,Diamond pendant necklace,Diamond pendant necklace,Minimal pendant necklace on a light blue background; clean choice for modern ecommerce product layouts.,"product-card, catalog-grid",Pexels,https://images.pexels.com/photos/5370650/pexels-photo-5370650.jpeg?cs=srgb&dl=pexels-the-glorious-studio-3584518-5370650.jpg&fm=jpg,1153156
17,suits/suit_01_groom_boutonniere.jpg,suits,Grey suit with boutonniere,Grey suit with boutonniere,Close-up of a textured grey suit with floral boutonniere; works well for formalwear features and elegant lifestyle banners.,"hero, formalwear-section",Pexels,https://images.pexels.com/photos/372176/pexels-photo-372176.jpeg?cs=srgb&dl=pexels-pixabay-372176.jpg&fm=jpg,2282679
18,suits/suit_02_beach_cufflinks.jpg,suits,Tailored suit adjusting cufflinks,Tailored suit adjusting cufflinks,Lifestyle portrait of a man adjusting cufflinks on a beach; ideal for luxury menswear ads and landing sections.,"hero, ad-banner",Pexels,https://images.pexels.com/photos/32203595/pexels-photo-32203595.jpeg?cs=srgb&dl=pexels-lazarus-ziridis-351891426-32203595.jpg&fm=jpg,1399943
19,suits/suit_04_city_sportscar.jpg,suits,Tailored suit by luxury car,Tailored suit by luxury car,Sharp double-breasted suit styled beside a luxury car; best for homepage hero sections and aspirational branding.,"hero, promo-banner",Pexels,https://images.pexels.com/photos/15654407/pexels-photo-15654407.jpeg?cs=srgb&dl=pexels-aliakbar-nosrati-453685724-15654407.jpg&fm=jpg,1230508
20,suits/suit_05_black_jacket_detail.jpg,suits,Black suit jacket detail,Black suit jacket detail,"Tight crop of a black suit jacket being buttoned; useful for craftsmanship, tailoring, and detail-focused sections.","feature-block, craftsmanship-section",Pexels,https://images.pexels.com/photos/32203589/pexels-photo-32203589.jpeg?cs=srgb&dl=pexels-lazarus-ziridis-351891426-32203589.jpg&fm=jpg,2676478
21,suits/suit_06_white_womens_suit.jpg,suits,White women’s tailored suit,White women’s tailored suit,Editorial fashion portrait in a clean white suit; great for modern luxury fashion pages and style lookbooks.,"lookbook, fashion-section",Pexels,https://images.pexels.com/photos/12311948/pexels-photo-12311948.jpeg?cs=srgb&dl=pexels-jackline-addis-ababa-54517755-12311948.jpg&fm=jpg,1259706
22,suits/suit_08_tie_adjustment_closeup.jpg,suits,Tie adjustment close-up,Tie adjustment close-up,"Close-up of patterned tie, pocket square, and dress watch; ideal for accessory-focused menswear sections.","feature-block, accessory-section",Pexels,https://images.pexels.com/photos/1342609/pexels-photo-1342609.jpeg?cs=srgb&dl=pexels-thelazyartist-1342609.jpg&fm=jpg,572708
23,suits/suit_09_white_suit_bench.jpg,suits,White suit modern lifestyle,White suit modern lifestyle,Modern white suit portrait on an outdoor bench; good for premium lookbooks and clean fashion landing pages.,"lookbook, hero",Pexels,https://images.pexels.com/photos/2709563/pexels-photo-2709563.jpeg?cs=srgb&dl=pexels-bubi-2709563.jpg&fm=jpg,2391006
24,suits/suit_10_black_city_fashion.jpg,suits,Black city fashion suit,Black city fashion suit,"Urban fashion portrait in a fitted black suit; strong option for ad slots, banners, and premium editorial layouts.","ad-tile, editorial-block",Pexels,https://images.pexels.com/photos/20264868/pexels-photo-20264868.jpeg?cs=srgb&dl=pexels-shtefutsa-20264868.jpg&fm=jpg,2110078
25,handbags/handbag_01_minimal_pedestal_bags.jpg,handbags,Minimal pedestal handbags,Minimal pedestal handbags,Minimalist orange handbags on white pedestals; ideal for clean product grids and featured accessories sections.,"product-card, hero",Pexels,https://images.pexels.com/photos/5706269/pexels-photo-5706269.jpeg?cs=srgb&dl=pexels-karola-g-5706269.jpg&fm=jpg,796745
26,handbags/handbag_02_vintage_gold_handle.jpg,handbags,Vintage handbag with gold handle,Vintage handbag with gold handle,Vintage-style structured bag with a metallic handle; best for elegant product windows and boutique themes.,"product-card, boutique-section",Pexels,https://images.pexels.com/photos/6044266/pexels-photo-6044266.jpeg?cs=srgb&dl=pexels-skylar-kang-6044266.jpg&fm=jpg,654249
27,handbags/handbag_04_blue_mint_quilted.jpg,handbags,Blue and mint quilted handbags,Blue and mint quilted handbags,Pastel quilted handbags on pedestals; ideal for fashion promos and colorful collection pages.,"promo-banner, collection-grid",Pexels,https://images.pexels.com/photos/27849638/pexels-photo-27849638.jpeg?cs=srgb&dl=pexels-mohaned-tamzini-686673207-27849638.jpg&fm=jpg,188093
28,handbags/handbag_05_orange_designer_stand.jpg,handbags,Orange designer handbag on stand,Orange designer handbag on stand,Bold orange designer-style handbag showcased in a boutique; great for spotlight products and homepage callouts.,"hero, spotlight-product",Pexels,https://images.pexels.com/photos/11980639/pexels-photo-11980639.jpeg?cs=srgb&dl=pexels-igorejov-11980639.jpg&fm=jpg,2211613
29,handbags/handbag_06_green_croc_texture.jpg,handbags,Green crocodile texture handbag,Green crocodile texture handbag,Green crocodile-texture handbag in bright daylight; strong fit for luxury accessories and statement-item sections.,"product-card, statement-section",Pexels,https://images.pexels.com/photos/9035628/pexels-photo-9035628.jpeg?cs=srgb&dl=pexels-malaydi-9035628.jpg&fm=jpg,835816
30,handbags/handbag_08_brown_store_crossbody.jpg,handbags,Brown boutique crossbody bag,Brown boutique crossbody bag,Brown leather-style bag displayed in a glossy store setting; good for shopping-inspired sections and product tiles.,"product-card, boutique-banner",Pexels,https://images.pexels.com/photos/14806252/pexels-photo-14806252.jpeg?cs=srgb&dl=pexels-matreding-14806252.jpg&fm=jpg,1239476
31,handbags/handbag_09_black_white_metal_trim.jpg,handbags,Black and white metal-trim handbag,Black and white metal-trim handbag,Structured handbag with gold metal trim on soft fabric; ideal for editorial luxury layouts and premium promos.,"editorial-block, feature-card",Pexels,https://images.pexels.com/photos/5658861/pexels-photo-5658861.jpeg?cs=srgb&dl=pexels-harper-sunday-5658861.jpg&fm=jpg,1676185
32,handbags/handbag_10_flatlay_bag_perfume_makeup.jpg,handbags,Handbag flat lay with beauty items,Handbag flat lay with beauty items,Flat lay of a white luxury handbag with perfume and makeup; perfect for lifestyle banners and accessories storytelling.,"lifestyle-card, promo-banner",Pexels,https://images.pexels.com/photos/8365688/pexels-photo-8365688.jpeg?cs=srgb&dl=pexels-69816215-8365688.jpg&fm=jpg,2782824
33,perfume/perfume_01_fur_surface_collection.jpg,perfume,Perfume collection on plush fur,Perfume collection on plush fur,Assorted perfume bottles arranged on plush fur; ideal for hero banners and luxury fragrance category intros.,"hero, category-header",Pexels,https://images.pexels.com/photos/965990/pexels-photo-965990.jpeg?cs=srgb&dl=pexels-valeriya-965990.jpg&fm=jpg,1096560
34,perfume/perfume_02_chanel_no5_minimal.jpg,perfume,Minimal perfume bottle on white,Minimal perfume bottle on white,Minimal perfume product shot on a clean white background; excellent for simple ecommerce product windows.,"product-card, catalog-grid",Pexels,https://images.pexels.com/photos/755992/pexels-photo-755992.jpeg?cs=srgb&dl=pexels-jessbaileydesign-755992.jpg&fm=jpg,489247
35,perfume/perfume_03_warm_lit_givenchy.jpg,perfume,Warm-lit amber fragrance bottle,Warm-lit amber fragrance bottle,Warm ambient lighting around a tall fragrance bottle; fits moody ads and premium fragrance landing pages.,"hero, ad-tile",Pexels,https://images.pexels.com/photos/2922276/pexels-photo-2922276.jpeg?cs=srgb&dl=pexels-tree-lee-1479554-2922276.jpg&fm=jpg,2141973
36,perfume/perfume_04_pink_bottle_white_surface.jpg,perfume,Pink perfume bottle on white,Pink perfume bottle on white,Soft pink perfume bottle against a clean background; best for feminine fragrance sections and product cards.,"product-card, collection-grid",Pexels,https://images.pexels.com/photos/1830450/pexels-photo-1830450.jpeg?cs=srgb&dl=pexels-didsss-1830450.jpg&fm=jpg,1533351
37,perfume/perfume_05_escada_with_petals.jpg,perfume,Perfume bottle with petals,Perfume bottle with petals,Romantic fragrance bottle styled with scattered petals; useful for seasonal campaigns and romantic product promos.,"promo-banner, seasonal-section",Pexels,https://images.pexels.com/photos/724635/pexels-photo-724635.jpeg?cs=srgb&dl=pexels-valeriya-724635.jpg&fm=jpg,349026
38,perfume/perfume_06_glitter_bottle_peonies.jpg,perfume,Glitter perfume with peonies,Glitter perfume with peonies,Sparkling perfume bottle with bold pink florals; great for beauty ads and eye-catching hero cards.,"hero, ad-banner",Pexels,https://images.pexels.com/photos/965994/pexels-photo-965994.jpeg?cs=srgb&dl=pexels-valeriya-965994.jpg&fm=jpg,1381414
39,perfume/perfume_07_clean_bottle_with_dried_roses.jpg,perfume,Clean bottle with dried roses,Clean bottle with dried roses,Simple glass bottle styled with dried roses; ideal for minimalist fragrance pages and supporting content blocks.,"feature-block, product-card",Pexels,https://images.pexels.com/photos/1190829/pexels-photo-1190829.jpeg?cs=srgb&dl=pexels-didsss-1190829.jpg&fm=jpg,911495
40,perfume/perfume_09_designer_bottle_group.jpg,perfume,Designer perfume bottle group,Designer perfume bottle group,Three premium fragrance bottles in a clean studio arrangement; works well for category grids and comparison layouts.,"collection-grid, category-header",Pexels,https://images.pexels.com/photos/7703038/pexels-photo-7703038.jpeg?cs=srgb&dl=pexels-filmasper-52021537-7703038.jpg&fm=jpg,1821013
41,bullion/bullion_01_gold_nugget_bars.jpg,bullion,Gold nugget-style bars,Gold nugget-style bars,"Cluster of polished gold pieces on a light background; good for wealth, investment, or precious metal product sections.","product-card, finance-banner",Pixabay,https://cdn.pixabay.com/photo/2014/03/25/02/52/gold-295938_1280.jpg,407068
42,bullion/bullion_02_gold_bar_stack.jpg,bullion,Stacked gold bars,Stacked gold bars,Classic stack of gold bars rendered in warm light; ideal for bullion category pages and investment promos.,"hero, category-header",Pixabay,https://cdn.pixabay.com/photo/2014/11/01/22/33/gold-513062_640.jpg,93152
43,bullion/bullion_03_fine_gold_closeup.jpg,bullion,Fine gold bar close-up,Fine gold bar close-up,Close-up of engraved fine gold bars; useful for premium metal listings and high-value offer cards.,"product-card, feature-card",Pixabay,https://cdn.pixabay.com/photo/2017/06/22/09/16/gold-is-money-2430051_640.jpg,83039
44,bullion/bullion_04_single_gold_ingot.jpg,bullion,Single gold ingot,Single gold ingot,Single gold ingot isolated on a neutral background; clean option for simple ecommerce product windows.,"product-card, catalog-grid",Pixabay,https://cdn.pixabay.com/photo/2017/09/30/11/41/gold-2801876_640.jpg,31326
45,bullion/bullion_05_mixed_gold_bars.jpg,bullion,Mixed gold bars assortment,Mixed gold bars assortment,Assortment of small gold bars with rich metallic reflections; best for category banners and visual variety.,"collection-grid, promo-banner",Pixabay,https://cdn.pixabay.com/photo/2014/03/25/02/42/gold-295936_640.jpg,122710
46,bullion/bullion_06_gold_bullion_rows.jpg,bullion,Rows of gold bullion,Rows of gold bullion,Rows of large gold bars fading into the background; strong fit for hero headers and investment-themed sections.,"hero, finance-section",Pixabay,https://cdn.pixabay.com/photo/2013/07/18/10/56/gold-163519_640.jpg,59676
47,bullion/bullion_07_single_gold_bar_wood.jpg,bullion,Single gold bar on wood,Single gold bar on wood,Single gold bar resting on wood planks; a cleaner lifestyle-style metal image for supporting product content.,"feature-block, product-card",Pixabay,https://cdn.pixabay.com/photo/2019/12/26/22/32/gold-bar-4721364_640.jpg,97104
48,bullion/bullion_08_gold_bar_pattern.jpg,bullion,Gold bar pattern background,Gold bar pattern background,Pattern of repeating gold bars; works well as a background image for promos or premium section dividers.,"background, promo-banner",Pixabay,https://cdn.pixabay.com/photo/2019/12/27/14/54/gold-bars-4722600_640.jpg,136218
49,bullion/bullion_09_silver_bars_stack.jpg,bullion,Silver bars stack,Silver bars stack,Stacked silver bars in a bright metallic arrangement; ideal for silver bullion listings and precious metal pages.,"product-card, category-header",Pixabay,https://cdn.pixabay.com/photo/2015/04/01/14/57/silver-702537_640.jpg,133248
50,bullion/bullion_10_silver_coin_reflection.jpg,bullion,Silver coin reflective studio shot,Silver coin reflective studio shot,Reflective silver coin studio image; useful for coin or precious metal sections and investment feature cards.,"product-card, feature-card",Pixabay,https://cdn.pixabay.com/photo/2018/02/15/08/26/silver-3154655_640.jpg,63491
